country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,tuberculosis,hiv,infant_mortality,physicians,gdp_capita,gdp_growth_capita,educ_exp_capita,health_exp_capita,health_expend_category
SUR,Suriname,2005,499464,1.17,31.32,5.91,2193,3.9,9.8,5.069,6.5,72.36,65.7,29,1.3,28,0.8,4390.70683773005,171.237566671472,222.564929604536,285.395944452453,medium
SUR,Suriname,2010,529131,1.14,29.4,6.17,4368,5.2,7.6,4.68,5.5,73.81,67.34,46,1.4,23.7,0.7,8255.04459198195,429.262318783061,386.336086904755,454.027452559007,high
SUR,Suriname,2019,575991,0.96,27.17,6.91,3807,-0.7,8,4.825,6.1,74.94,68.37,38,1.4,20.3,1.2,6609.47827309802,-46.2663479116861,318.907326676979,403.178174658979,high
SSD,South Sudan,2010,9508364,3.93,43.52,3.33,15206,-1.8,12.1,2.816,4.452,56.05,53.58,243.72,2.4,78.6,0.265,1599.2235888319,-28.7860245989741,45.0341362615062,71.197434174796,low
SSD,South Sudan,2019,10975920,0.6,41.82,3.4,5694,1.3,11.5,1,5.213,59.14,56.12,146,2.5,65.8,0.278,518.77200271139,6.74403603524807,5.1877200271139,27.0435845013448,very low
STP,Sao Tome and Principe,2005,157472,2.4,44,3.33,126,7.1,16.5,5.3,11.2,66.76,62.52,151,2.415,56.1,0.5,800.142247510669,56.8100995732575,42.4075391180654,89.6159317211949,low
STP,Sao Tome and Principe,2010,180371,2.52,43.41,3,197,6.7,14.6,9.7,6.8,69.67,65.17,117,3.937,42.1,0.353,1092.19331267221,73.1769519490384,105.942751329205,74.2691452617106,low
STP,Sao Tome and Principe,2019,211028,1.88,42.52,2.93,393,3.9,13.5,4.9,6,72.58,67.78,124,1.896,32.1,0.3,1862.31211024129,72.6301722994105,91.2532934018235,111.738726614478,low
SLV,El Salvador,2005,6052123,0.47,34.77,6.32,14698,3.6,7.2,3.2,7.2,74.63,65.49,37,0.7,23.6,1.7,2428.56928056485,87.4284941003347,77.7142169780753,174.856988200669,medium
SLV,El Salvador,2010,6183875,0.42,31.64,7.07,18448,1.4,4.9,4,6.9,75.71,66.48,34,0.7,21.6,1.9,2983.24270784904,41.7653979098866,119.329708313962,205.843746841584,medium
SLV,El Salvador,2019,6420744,0.51,27.13,8.29,24805,2.3,4.6,3.8,7,77.64,68.23,70,0.6,17.7,1.6,3863.25946027439,88.8549675863109,146.803859490427,270.428162219207,medium
SYR,Syrian Arab Republic,2005,18361176,2.95,39.33,3.35,28397,6.2,9.2,5.4,4.1,76.77,72.3,29,0.1,17.7,1.5,1546.57849802213,95.8878668773721,83.5152388931951,63.4097184189074,low
SYR,Syrian Arab Republic,2010,21362529,0.74,37.39,3.41,60465,3.4,8.6,5.1,3.3,76.78,68.11,21,0.1,15,1.5,2830.42330802687,96.2343924729137,144.35158870937,93.4039691648868,low
SYR,Syrian Arab Republic,2019,16906283,-0.95,31.42,4.5,15183,1.9,14.9,4.624,3.6,77.76,66.58,19,0.1,17.9,1.2,898.068487319182,17.0633012590645,41.526686853639,32.3304655434906,very low
SWZ,Eswatini,2005,1030579,0.42,41.33,3.29,3178,6,22.1,6.5,5.6,44.6,40.66,1060,26.3,86.3,0.2,3083.70343273053,185.022205963832,200.440723127485,172.68739223291,medium
SWZ,Eswatini,2010,1064837,0.69,40.19,3.67,4439,3.8,27.8,6.1,8.4,49.19,44.37,1190,27.4,74.2,0.1,4168.71314576785,158.411099539178,254.291501891839,350.171904244499,medium
SWZ,Eswatini,2019,1136191,1.01,38.11,4.01,4409,2,26.5,7.1,7.7,63.97,55.28,329,27.3,51.6,0.1,3880.50952700734,77.6101905401469,275.516176417521,298.799233579565,medium
TCD,Chad,2005,10096633,3.65,49.15,2.7,6681,7.9,5.7,1.7,4.8,49.73,47.38,151,1.5,108.3,0,661.705738932969,52.2747533757046,11.2489975618605,31.7618754687825,very low
TCD,Chad,2010,11952136,3.33,48.77,2.55,10970,15,5.8,2,4.1,52.19,49.6,147,1.5,97.5,0,917.8275749205,137.674136238075,18.35655149841,37.6309305717405,very low
TCD,Chad,2019,15477751,3.02,47.13,2.48,10717,-3.1,5.9,2.9,4.5,55.4,52.58,142,1.3,84.1,0,692.413258231122,-21.4648110051648,20.0799844887025,31.1585966204005,very low
TGO,Togo,2005,5611640,2.6,42.78,2.77,2281,-4.7,1.9,3.4,3.9,55.33,53.85,71,3.3,77.3,0,406.476538053047,-19.1043972884932,13.8202022938036,15.8525849840688,very low
TGO,Togo,2010,6421679,2.7,42.79,2.73,3426,6.1,1.9,4.4,5.9,58.13,56.78,76,2.9,63.2,0.2,533.505334041144,32.5438253765098,23.4742346978103,31.4768147084275,very low
TGO,Togo,2019,7889094,2.45,41.33,2.87,4786,4.4,1.8,5.1,6.6,61.61,59.89,36,2.3,55.7,0,606.660283170666,26.6930524595093,30.9396744417039,40.0395786892639,very low
THA,Thailand,2005,65416189,0.65,21.29,7.75,189318,4.2,1.4,3.9,3.2,75.62,68.71,224,1.6,16.7,0.3,2894.0542531452,121.550278632098,112.868115872663,92.6097361006463,low
THA,Thailand,2010,67195028,0.49,19.18,8.9,341105,7.5,0.6,3.5,3.4,77.72,70.75,181,1.5,13.4,0.4,5076.34285084307,380.72571381323,177.671999779508,172.595656928664,medium
THA,Thailand,2019,69428524,0.32,17.09,11.9,455303,3.9,1.4,4.1,3.7,80.7,73.23,153,1.1,10.1,0.8,6557.8666197772,255.756798171311,268.872531410865,242.641064931756,medium
TJK,Tajikistan,2005,6789321,1.89,38.03,3.8,2312,6.7,11.2,3.5,5.2,68.32,64.04,196,0.1,57.2,1.9,340.534789856011,22.8158309203527,11.9187176449604,17.7078090725126,very low
TJK,Tajikistan,2010,7527394,2.18,35.68,3.3,5642,6.5,11.7,4,5.7,71.15,66.55,128,0.2,39,1.7,749.528987057141,48.7193841587142,29.9811594822856,42.723152262257,very low
TJK,Tajikistan,2019,9100837,2.45,36.78,3.02,7146,7.1,10.3,5.2,7,73.18,68.73,84,0.2,34.1,1.7,785.202503901564,55.7493777770111,40.8305302028813,54.9641752731095,low
TLS,Timor-Leste,2005,995135,2.36,44.66,3.71,1814,35.9,7.2,3.343,1.3,65.56,62.26,498,2.586,69,0.296,1822.86825405598,654.409703206098,60.9384857330915,23.6972873027278,very low
TLS,Timor-Leste,2010,1093523,1.78,42.53,4.04,3999,-1.2,3.3,2.4,1.4,68.79,65.63,498,3.309,53.3,0.483,3656.98755307387,-43.8838506368865,87.7677012737729,51.1978257430342,low
TLS,Timor-Leste,2019,1267972,1.97,37.78,4.32,2955,-8,3.5,2.7,4,71.38,67.28,498,2.862,44.9,0.7,2330.49310237135,-186.439448189708,62.9233137640263,93.2197240948538,low
TKM,Turkmenistan,2005,4754646,1.08,32.61,4.59,14176,13,3.8,4.13,9.6,68.89,61.26,84,0.734,62,4.3,2981.50482706809,387.595627518852,123.136149357912,286.224463398537,medium
TKM,Turkmenistan,2010,5087213,1.57,29.52,4.14,22583,9.2,4,3.82,5,70.22,63.16,79,0.349,54.1,2.3,4439.16934478663,408.403579720369,169.576268970849,221.958467239331,medium
TKM,Turkmenistan,2019,5850908,1.61,30.82,4.43,37915,6.5,3.3,3,6.6,71.58,64.6,46,0.368,46.9,2.2,6480.19076697155,421.212399853151,194.405723009147,427.692590620123,high
TUN,Tunisia,2005,10106771,0.84,25.49,7.39,32272,4,12.9,6.5,5.4,76.81,71.89,26,0.1,23,0.9,3193.10687854707,127.724275141883,207.551947105559,172.427771441542,medium
TUN,Tunisia,2010,10635244,1.04,23.33,7.49,44051,3,13,6.3,5.9,77.39,72.84,28,0.1,18,1.2,4141.98301421199,124.25949042636,260.944929895355,244.376997838508,medium
TUN,Tunisia,2019,11565204,1.15,24.17,8.32,40069,2,15.1,6.6,7,78.54,74.49,35,0.1,14.6,1.3,3464.61679361644,69.2923358723287,228.664708378685,242.523175553151,medium
TON,Tonga,2005,100905,0.68,38.21,5.9,262,1.6,3.1,3.9,4.2,71.41,68.23,21,1.784,14.4,0.3,2596.50165997721,41.5440265596353,101.263564739111,109.053069719043,low
TON,Tonga,2010,103986,0.09,37.41,5.72,374,3.6,1.1,5.021,4.7,72.03,68.08,12,1.674,14.4,0.6,3596.63800896275,129.478968322659,180.587194430019,169.041986421249,medium
TON,Tonga,2019,103197,1.17,35.42,5.95,427,2.7,1.2,5.529,5.3,72.76,68.88,10,1.699,14.7,0.5,4137.71718170102,111.718363905928,228.774382976249,219.299010630154,medium
TUR,Turkey,2005,67903469,1.32,28.6,6.68,501423,9,10.6,3,4.9,75.95,69,33,0.37,24.7,1.5,7384.35027524146,664.591524771731,221.530508257244,361.833163486832,medium
TUR,Turkey,2010,72326988,1.4,26.9,7.21,771877,8.5,10.7,2.8,5.1,77.84,71.2,25,0.296,16.4,1.7,10672.0467883994,907.123977013947,298.817310075182,544.274386208368,high
TUR,Turkey,2019,82319724,1.49,24.65,8.48,851542,7.4,11.2,4.3,4.3,80.34,74.45,16,0.285,11.8,1.8,10344.3252555123,765.480068907909,444.805985987028,444.805985987028,high
TTO,Trinidad and Tobago,2005,1296502,0.49,21.85,7.21,15938,6.2,8,3.1,4.5,73.39,68.1,15,0.944,28.8,0.8,12293.0778355915,762.170825806671,381.085412903335,553.188502601616,high
TTO,Trinidad and Tobago,2010,1328147,0.54,20.72,8.3,22062,3.3,5.9,4.442,5.2,74.77,69.22,19,0.828,28.5,1.8,16611.1130770916,548.166731544023,737.86564288441,863.777880008764,high
TTO,Trinidad and Tobago,2019,1389858,0.42,20.42,10.73,22105,-2.3,5.1,4.505,6.5,76.09,70.75,21,0.645,26.1,2.7,15904.5024743535,-365.80355691013,716.497836469625,1033.79266083298,high
TZA,Tanzania, United Republic of,2005,38450320,2.82,44.76,2.54,18072,7.4,4.4,4.6,6.4,55.87,52.8,510,5.4,71,0,470.009092252028,34.7806728266501,21.6204182435933,30.0805819041298,very low
TZA,Tanzania, United Republic of,2010,44346525,2.91,44.88,2.48,31105,6.4,3,4.6,5.3,60.37,56.78,426,5,55.5,0.0909999999999999,701.407832970002,44.8901013100801,32.2647603166201,37.1746151474101,very low
TZA,Tanzania, United Republic of,2019,56318348,2.98,44.1,2.6,52090,7,2.3,3.5,4.1,66.82,63.17,253,4.6,46.9,0,924.92059603737,64.7444417226159,32.3722208613079,37.9217444375321,very low
UKR,Ukraine,2005,47105150,-0.73,14.62,15.89,89239,3.1,7.2,6.1,6.1,73.97,62.23,127,0.9,14.8,2.699,1894.46376882358,58.7283768335309,115.562289898238,115.562289898238,low
UKR,Ukraine,2010,45870700,-0.4,14.13,15.71,136012,0.3,8.1,7.3,7,75.5,65.28,110,0.9,12.6,3.5,2965.1171662957,8.89535149888709,216.453553139586,207.558201640699,medium
UKR,Ukraine,2019,44622516,-0.47,15.81,16.43,112154,2.5,8.6,5,6.7,76.72,66.69,80,1,8.8,3,2513.3948072314,62.834870180785,125.66974036157,168.397452084504,medium
UGA,Uganda,2005,27684585,3.17,49.67,1.97,11158,10,1.9,5,11.4,53.88,49.45,233,7.3,79.5,0.1,403.04017560675,40.304017560675,20.1520087803375,45.9465800191695,very low
UGA,Uganda,2010,32428167,3.19,49.09,1.87,19683,8.2,4,2.4,10.5,58.72,55.35,210,6.8,70.7,0.0979999999999999,606.97232748308,49.7717308536125,14.5673358595939,63.7320943857234,low
UGA,Uganda,2019,42723139,3.72,46.93,1.94,27699,5,2.3,2.6,6.2,65.17,60.66,200,5.7,59,0.1,648.337192639333,32.4168596319667,16.8567670086227,40.1969059436386,very low
USA,United States of America (the),2005,295516599,0.92,20.88,12.31,13036637,3.5,5.1,5.799,14.5,80.1,75,5.5,0.267,7,2.9,44114.7368510423,1544.01578978648,2558.21358999195,6396.63684340114,very high
USA,United States of America (the),2010,309321666,0.83,20.2,12.98,14992052,2.6,9.6,5.4,16.4,81,76.2,4.2,0.4,6.8,2.4,48467.5134266217,1260.15534909216,2617.24572503757,7948.67220196596,very high
USA,United States of America (the),2019,326687501,0.52,18.71,15.81,19485394,2.2,4.1,5,17.1,81.1,76.1,3,0.419,6,2.6,59645.3612101921,1312.19794662423,2982.26806050961,10199.3567669429,very high
URY,Uruguay,2005,3321803,0.01,23.69,13.58,17363,7.5,12.2,2.7,8.4,79.48,72.05,22,0.4,14.5,3.7,5226.98064876213,392.02354865716,141.128477516578,439.066374496019,high
URY,Uruguay,2010,3359275,0.29,22.2,14,40285,7.8,7.2,2.9,8.6,80.38,72.93,24,0.5,11.3,3.9,11992.1709297393,935.389332519666,347.77295696244,1031.32669995758,high
URY,Uruguay,2019,3449299,0.37,20.61,14.81,59180,2.7,8.2,4.4,9.1,81.36,73.96,33,0.6,10,5,17157.1093140954,463.241951480576,754.912809820198,1561.29694758268,very high
UZB,Uzbekistan,2005,26167000,1.16,32.6,4.84,14396,7,8.3,4.153,5,71.66,65.25,120,0.1,49.4,1.309,550.158596705774,38.5111017694042,22.8480865211908,27.5079298352887,very low
UZB,Uzbekistan,2010,28562400,2.82,29.14,4.51,39526,8.5,8.2,4.072,5.4,72.46,66.94,97,0.1,40.7,2.5,1383.84729574546,117.627020138364,56.3502618827549,74.7277539702546,low
UZB,Uzbekistan,2019,32955400,1.73,28.69,4.42,49677,5.2,6.7,6.4,6.3,73.68,69.44,70,0.2,27.7,2.4,1507.40091153498,78.3848473998192,96.4736583382389,94.966257426704,low
VCT,Saint Vincent and the Grenadines,2005,108614,0.09,28.55,7.07,551,2.5,18.9,6.4,3.3,73.78,69.04,7.4,2.038,19.6,0.9,5073.01084574733,126.825271143683,324.672694127829,167.409357909662,medium
VCT,Saint Vincent and the Grenadines,2010,108255,-0.03,25.83,8.23,681,-3.3,18.8,5.1,3.7,74.33,69.49,16,2.066,19.5,0.7,6290.7025079673,-207.593182762921,320.825827906332,232.75599279479,medium
VCT,Saint Vincent and the Grenadines,2019,110210,0.35,22.54,9.59,780,0.7,18.2,5.8,3.6,75.01,70.18,6.3,1.791,17.4,1.032,7077.39769530896,49.5417838671627,410.489066327919,254.786317031122,medium
VEN,Venezuela (Bolivarian Republic of),2005,26432447,1.66,31.69,4.97,145514,10.3,11.5,3.738,4.8,76.86,69.1,32,0.271,17.2,1.9,5505.12784533343,567.028168069343,205.781678858563,264.246136576005,medium
VEN,Venezuela (Bolivarian Republic of),2010,28439940,1.45,29.91,5.57,393806,-1.5,8.4,6.9,6.1,77.1,69.4,28,0.591,14.8,1.836,13846.934979469,-207.704024692035,955.438513583362,844.66303374761,high
VEN,Venezuela (Bolivarian Republic of),2019,28870195,-1.79,27.67,7.27,255093,-14,7.7,4.474,3.2,76.07,68.4,48,0.594,15,1.842,8835.8599586875,-1237.02039421625,395.316374551679,282.747518678,medium
VNM,Viet Nam,2005,83832661,0.92,27.1,6.54,57633,7.5,2.3,3.777,5.1,78.42,69.72,266,0.3,23.6,0.6,687.476686443247,51.5607514832435,25.9659944469614,35.0613110086056,very low
VNM,Viet Nam,2010,87967651,1,23.63,6.49,115932,6.4,2.6,5.1,6,78.88,70.72,231,0.4,19,0.7,1317.89355157386,84.3451873007272,67.212571130267,79.0736130944317,low
VNM,Viet Nam,2019,95540395,0.99,23.17,7.27,223780,6.8,2.1,5.7,5.7,79.44,71.21,182,0.3,17.9,0.8,2342.25533608062,159.273362853482,133.508554156595,133.508554156595,low
VUT,Vanuatu,2005,209282,2.49,39.68,3.27,395,5.3,5.6,8.4,3.3,69.88,67.02,83,2.03,23.7,0.1,1887.40551026844,100.032492044227,158.542062862549,62.2843818388586,low
VUT,Vanuatu,2010,236211,2.56,38.22,3.9,701,1.6,5.4,5,3.4,70.77,67.63,69,1.713,24,0.1,2967.68567086207,47.4829707337931,148.384283543103,100.90131280931,low
VUT,Vanuatu,2019,292680,2.48,38.85,3.64,864,3.5,5.2,4.7,3.7,71.99,68.85,46,1.572,24.3,0.2,2952.0295202952,103.321033210332,138.745387453875,109.225092250923,low
WSM,Samoa,2005,179727,0.63,39.61,4.75,434,5.1,2.1,3.8,4.8,72.94,68.09,15,1.398,17,0.3,2414.77351761282,123.153449398254,91.7613936692873,115.909128845416,low
WSM,Samoa,2010,185949,0.75,38.31,4.97,679,4.3,4.8,5.1,5.5,74.03,69.51,8.7,1.455,16.6,0.3,3651.53886280647,157.016171100678,186.22848200313,200.834637454356,medium
WSM,Samoa,2019,196130,0.4,38.32,4.8,856,-0.4,8,4.1,5.5,75.32,71.2,6.4,2.919,15.1,0.3,4364.45214908479,-17.4578085963392,178.942538112476,240.044868199663,medium
YEM,Yemen,2005,20107409,2.86,46.06,2.67,19041,5.1,16,9.2,5.2,65.09,61.95,80,0.1,61.6,0.3,946.964375171361,48.2951831337394,87.1207225157652,49.2421475089108,very low
YEM,Yemen,2010,23154855,2.8,42.67,2.66,30907,3.3,17.8,5.2,5.2,67.23,63.93,52,0.1,48.6,0.3,1334.79566164418,44.0482568342579,69.4093744054973,69.4093744054973,low
YEM,Yemen,2019,28498687,2.36,39.61,2.88,27957,-5.9,14,4.687,5.6,67.8,64.42,48,0.1,43.3,0.3,980.99256292053,-57.8785612123113,45.9791214240853,54.9355835235497,low
ZAF,South Africa,2005,47880601,1.24,30.88,4.61,257772,5.3,23.8,5.1,6.7,55.93,51.1,932,16.8,53.9,0.7,5383.64169656099,285.333009917733,274.565726524611,360.703993669587,medium
ZAF,South Africa,2010,51216964,1.46,29.67,4.75,375348,3,24.7,5.7,7.4,60.56,54.91,948,18.9,48.1,0.7,7328.58745785869,219.857623735761,417.729485097945,542.315471881543,high
ZAF,South Africa,2019,57779622,1.36,29.08,5.32,348872,1.3,27.6,6.1,8.1,67.4,60.46,520,20.4,32.9,0.9,6037.97650320385,78.49369454165,368.316566695435,489.076096759512,high
ZMB,Zambia,2005,11856247,2.61,47.01,2.24,8332,7.2,10.4,1.7,6.9,50.66,46.4,602,14.1,88.4,0.1,702.751891049503,50.5981361555642,11.9467821478416,48.4898804824157,very low
ZMB,Zambia,2010,13605984,2.91,47.29,2.08,20265,10.3,13.2,1.1,3.7,57.79,53.48,495,13,64.7,0.1,1489.41818541018,153.410073097249,16.383600039512,55.1084728601768,low
ZMB,Zambia,2019,17351822,2.91,44.94,2.1,25868,3.5,7.8,3.783,4.5,66.45,60.53,346,11.3,53.3,0.1,1490.7944537467,52.1778058811346,56.3967541852377,67.0857504186016,low
ZWE,Zimbabwe,2005,12076699,0.47,41.35,3.11,6223,-4.1,4.5,4.503,7.23,44.96,41.57,588,19,65,0.2,515.289815536514,-21.1268824369971,23.2035003936092,37.2554536632899,very low
ZWE,Zimbabwe,2010,12697723,1.35,41.61,3.07,10142,12.6,5.3,1.8,11.8,52.24,48.88,416,15.4,62.7,0.1,798.725881797862,100.639461106531,14.3770658723615,94.2496540521478,low
ZWE,Zimbabwe,2019,14439018,1.41,42.4,2.94,18037,3,5,7.5,9.4,62.6,59.5,210,12.7,51.2,0.1,1249.18467447024,37.4755402341073,93.6888505852683,117.423359400203,low
