country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,tuberculosis,hiv,infant_mortality,physicians,gdp_capita,gdp_growth_capita,educ_exp_capita,health_exp_capita,health_expend_category
PYF,French Polynesia,2010,266455,0.45,25.48,6.35,6081,-2.5,18,4.527,5.546,78.03,73.46,18,1.569,8.8,1.64,22821.8648552288,-570.546621380721,1033.14582199621,1265.70062487099,very high
PYF,French Polynesia,2019,277679,0.57,22.76,8.29,5606,2.3,20.2,4.904,6.071,79.72,75.4,22,1.027,6.9,1.937,20188.7791298586,464.341919986747,990.057728528265,1225.66078097371,high
PNG,Papua New Guinea,2005,6494903,2.19,39.18,3.18,7312,3.9,2.5,2.977,2.5,61.92,59.24,432,1,58.2,0,1125.80588193542,43.9064293954813,33.5152411052174,28.1451470483855,very low
PNG,Papua New Guinea,2010,7310507,2.29,38.3,3.32,14251,10.1,2,3.205,2.1,63.45,60.7,432,0.8,54.5,0.1,1949.38600017755,196.887986017933,62.4778213056905,40.9371060037286,very low
PNG,Papua New Guinea,2019,8606316,1.97,35.82,3.45,22006,-1.5,2.7,3.224,2,65.58,63.04,432,0.8,48.3,0.415,2556.95933079845,-38.3543899619768,82.436368824942,51.139186615969,low
PHL,Philippines (the),2005,86326250,1.89,37.06,3.49,103072,4.8,3.8,2.4,3.9,72.85,65.6,539,0.1,27.9,1.2,1193.98213173861,57.3111423234532,28.6555711617266,46.5653031378057,very low
PHL,Philippines (the),2010,93966780,1.67,33.99,4.14,199591,7.6,3.6,2.7,4.3,74.01,65.96,531,0.1,25.5,1.3,2124.05916218476,161.428496326042,57.3495973789886,91.3345439739448,low
PHL,Philippines (the),2019,106651922,1.4,30.96,5.12,313595,6.7,1.8,3.347,4.4,75.39,67.12,554,0.1,23.7,1.008,2940.35957457944,197.004091496823,98.413834961174,129.375821281496,low
PAK,Pakistan,2005,160304008,2.3,39.97,4.1,117708,7.7,7.7,2.3,2.7,64.89,63.1,276,0.1,82.9,0.8,734.279831605957,56.5395470336587,16.888436126937,19.8255554533608,very low
PAK,Pakistan,2010,179424641,2.2,37.69,4.24,174508,1.6,0.6,2.3,2.6,66.23,64.38,276,0.1,75.6,0.8,972.597738122268,15.5615638099563,22.3697479768122,25.287541191179,very low
PAK,Pakistan,2019,212215030,2.06,35.27,4.31,302139,5.7,4.3,2.8,2.8,68.11,66.19,265,0.1,68.1,1,1423.73987365551,81.153172798364,39.8647164623542,39.8647164623542,very low
POL,Poland,2005,38165445,-0.04,16.61,13.08,306127,3.5,17.8,5.4,5.8,79.4,70.8,25,0.281,7.1,2.759,8021.05150352629,280.73680262342,433.13678119042,465.220987204525,high
POL,Poland,2010,38042794,-0.29,15.22,13.47,479321,3.6,9.6,5.1,6.4,80.6,72.1,21,0.302,5.7,2.2,12599.521475736,453.582773126495,642.575595262535,806.369374447103,high
POL,Poland,2019,37974750,0,15.05,17.52,526212,4.8,4.4,4.8,6.5,81.8,73.9,16,0.266,4.4,2.4,13856.8917504394,665.130804021093,665.130804021093,900.697963778563,high
PRI,Puerto Rico,2005,3821362,-0.14,22.27,12.19,83915,-2,11.4,5.438,7.97500000000001,82.45,74.34,3.6,0.281,8,2.681,21959.447966458,-439.188959329161,1194.15478041599,1751.26597532503,very high
PRI,Puerto Rico,2010,3721525,-0.51,20.63,13.11,98381,-0.4,16.4,5.459,8.628,82.26,74.76,2.6,0.42,7.2,2.508,26435.6681736654,-105.742672694661,1443.12312560039,2280.86945002385,very high
PRI,Puerto Rico,2019,3195153,-3.98,16.84,18.67,104219,-2.4,10.3,6.1,8.627,83.38,76.35,0.95,0.517,6.4,3.187,32617.8433395834,-782.828240150002,1989.68844371459,2813.94134490586,very high
PSE,Palestine, State of,2005,3320396,2.56,45.52,2.52,4832,10.8,23.5,6.027,6.346,73.69,70.43,0.98,3.334,23.7,0.896,1455.2481089605,157.166795767734,87.7078035270492,92.3500449946332,low
PSE,Palestine, State of,2010,3786161,2.6,42.29,2.75,8913,8.1,23.7,6.7,6.164,74.56,71.1,0.96,2.865,21,1.015,2354.09957474075,190.682065554,157.72467150763,145.10669778702,low
PSE,Palestine, State of,2019,4569087,2.53,38.95,3.13,14498,3.1,26.4,5.3,5.839,75.6,72.26,0.77,3.061,19.3,1.19,3173.06280226225,98.3649468701296,168.172328519899,185.275137024093,medium
PRT,Portugal,2005,10503330,0.19,15.44,17.2,197300,0.8,7.6,5.1,9.4,81.4,74.9,36,0.6,4.5,3.4,18784.5188145093,150.276150516074,958.010459539974,1765.74476856387,very high
PRT,Portugal,2010,10573100,0.05,14.97,18.66,238303,1.9,10.8,5.4,9.8,82.1,76.1,28,0.6,3.3,3.8,22538.6121383511,428.233630628671,1217.08505547096,2208.78398955841,very high
PRT,Portugal,2019,10283822,-0.16,13.46,21.95,195041,0.9,6.7,4.9,9.1,84.9,78.7,24,0.5,2.9,3.3,18965.8086264037,170.692277637633,929.324622693781,1725.88858500274,very high
PLW,Palau,2005,19781,-0.43,27.9295,6.854,191,0.2,4.2,7.6,9,72.1,66.3,58,1.211,25.686,1.289,9655.73024619584,19.3114604923917,733.835498710884,869.015722157626,high
PRY,Paraguay,2005,5824096,1.62,35.5,4.74,8735,2.1,4.8,3.4,5,73.73,69.72,43,0.6,27.1,1.2,1499.80357466635,31.4958750679934,50.993321538656,74.9901787333176,low
PRY,Paraguay,2010,6248020,1.35,32.94,5.22,20048,13.1,4.6,3.8,6.2,74.69,70.74,42,0.5,24.1,1.406,3208.69651505597,420.339243472332,121.930467572127,198.93918393347,medium
PRY,Paraguay,2019,6956071,1.29,29.44,6.43,29435,4.3,4.6,4.5,8,76.25,72.16,43,0.5,20.8,1.4,4231.55542834453,181.956883418815,190.419994275504,338.524434267563,medium
QAT,Qatar,2005,865416,13.87,21.7,1.3,44530,7.5,1.2,4,2.6,79.83,77.22,43,0.835,9.8,2.5,51455.0227867292,3859.12670900469,2058.20091146917,1337.83059245496,very high
QAT,Qatar,2010,1856327,11.48,12.89,0.71,125122,16.7,0.4,4.5,1.8,80.73,77.93,36,0.854,8.3,3.9,67402.9952696912,11256.3002100384,3033.1347871361,1213.25391485444,high
QAT,Qatar,2019,2781677,2.07,13.54,1.37,167605,1.6,0.1,2.9,3.1,81.88,78.98,31,2.54,7.3,0,60253.2213481292,964.051541570067,1747.34341909575,1867.84986179201,very high
ROU,Romania,2005,21319685,-0.62,15.74,15.23,99699,4.2,7.2,3.5,5.5,75.57,68.37,140,0.1,16.9,2,4676.38241371765,196.408061376141,163.673384480118,257.201032754471,medium
ROU,Romania,2010,20246871,-0.59,15.78,15.67,166658,-2.8,7,3.5,5.8,77.3,69.8,104,0.1,12,2.5,8231.29657911092,-230.476304215106,288.095380268882,477.415201588433,high
ROU,Romania,2019,19466145,-0.62,15.53,18.34,211804,6.9,5,3.1,5,79.2,71.8,68,0.1,8.4,2.3,10880.6340443883,750.763749062796,337.299655376039,544.031702219417,high
SRB,Serbia,2005,7440769,-0.3,18.71,14.4,26252,5.5,20.8,4.096,8.7,75.6,70.2,40,0.1,9.5,3.198,3528.12995538499,194.047147546174,144.512202972569,306.947306118494,medium
SRB,Serbia,2010,7291436,-0.4,17.34,14.74,39460,0.6,19.2,4.6,10.1,77,71.8,30,0.1,7.1,2.5,5411.82834218116,32.4709700530869,248.944103740333,546.594662560297,high
SRB,Serbia,2019,6982604,-0.55,15.69,18.35,41590,2,12.2,3.9,9.1,78.1,73.1,17,0.1,6.1,3.1,5956.23065549758,119.124613109952,232.292995564405,542.016989650279,high
